VM Exectution:
				PC	BP	SP	stack
Initial Values:	0	75	74
0	INC	0	4	3	75	78	0 0 0 0 
1	LIT	0	12	6	75	79	0 0 0 0 12 
2	STO	0	3	9	75	78	0 0 0 12 
3	LOD	0	3	12	75	79	0 0 0 12 12 
4	LIT	0	3	15	75	80	0 0 0 12 12 3 
5	GTR	0	9	18	75	79	0 0 0 12 1 
6	JPC	0	36	21	75	78	0 0 0 12 
7	LOD	0	3	24	75	79	0 0 0 12 12 
8	LIT	0	2	27	75	80	0 0 0 12 12 2 
9	DIV	0	4	30	75	79	0 0 0 12 6 
10	STO	0	3	33	75	78	0 0 0 6 
11	JMP	0	9	9	75	78	0 0 0 6 
3	LOD	0	3	12	75	79	0 0 0 6 6 
4	LIT	0	3	15	75	80	0 0 0 6 6 3 
5	GTR	0	9	18	75	79	0 0 0 6 1 
6	JPC	0	36	21	75	78	0 0 0 6 
7	LOD	0	3	24	75	79	0 0 0 6 6 
8	LIT	0	2	27	75	80	0 0 0 6 6 2 
9	DIV	0	4	30	75	79	0 0 0 6 3 
10	STO	0	3	33	75	78	0 0 0 3 
11	JMP	0	9	9	75	78	0 0 0 3 
3	LOD	0	3	12	75	79	0 0 0 3 3 
4	LIT	0	3	15	75	80	0 0 0 3 3 3 
5	GTR	0	9	18	75	79	0 0 0 3 0 
6	JPC	0	36	36	75	78	0 0 0 3 
12	LOD	0	3	39	75	79	0 0 0 3 3 
13	LIT	0	4	42	75	80	0 0 0 3 3 4 
14	MUL	0	3	45	75	79	0 0 0 3 12 
15	LIT	0	7	48	75	80	0 0 0 3 12 7 
16	GEQ	0	10	51	75	79	0 0 0 3 1 
17	JPC	0	72	54	75	78	0 0 0 3 
18	LIT	0	18	57	75	79	0 0 0 3 18 
19	LIT	0	3	60	75	80	0 0 0 3 18 3 
20	ADD	0	1	63	75	79	0 0 0 3 21 
21	LIT	0	7	66	75	80	0 0 0 3 21 7 
22	DIV	0	4	69	75	79	0 0 0 3 3 
23	STO	0	3	72	75	78	0 0 0 3 
24	HLT	0	3	75	75	78	0 0 0 3 

