VM Exectution:
				PC	BP	SP	stack
Initial Values:			0	81	80
0	INC	0	6	3	81	86	0 0 0 0 0 0 
Input :
1	RED	0	2	6	81	87	0 0 0 0 0 0 7 
2	STO	0	3	9	81	86	0 0 0 7 0 0 
Input :
3	RED	0	2	12	81	87	0 0 0 7 0 0 2 
4	STO	0	4	15	81	86	0 0 0 7 2 0 
5	LIT	0	0	18	81	87	0 0 0 7 2 0 0 
6	STO	0	5	21	81	86	0 0 0 7 2 0 
7	CAL	0	27	27	87	86	0 0 0 7 2 0 
9	INC	0	3	30	87	89	0 0 0 7 2 0 | 81 81 24 
10	LOD	1	4	33	87	90	0 0 0 7 2 0 | 81 81 24 2 
11	LIT	0	0	36	87	91	0 0 0 7 2 0 | 81 81 24 2 0 
12	NEQ	0	6	39	87	90	0 0 0 7 2 0 | 81 81 24 1 
13	JPC	0	69	42	87	89	0 0 0 7 2 0 | 81 81 24 
14	LOD	1	5	45	87	90	0 0 0 7 2 0 | 81 81 24 0 
15	LOD	1	3	48	87	91	0 0 0 7 2 0 | 81 81 24 0 7 
16	ADD	0	1	51	87	90	0 0 0 7 2 0 | 81 81 24 7 
17	STO	1	5	54	87	89	0 0 0 7 2 7 | 81 81 24 
18	LOD	1	4	57	87	90	0 0 0 7 2 7 | 81 81 24 2 
19	LIT	0	1	60	87	91	0 0 0 7 2 7 | 81 81 24 2 1 
20	SUB	0	2	63	87	90	0 0 0 7 2 7 | 81 81 24 1 
21	STO	1	4	66	87	89	0 0 0 7 1 7 | 81 81 24 
22	CAL	1	27	27	90	89	0 0 0 7 1 7 | 81 81 24 
9	INC	0	3	30	90	92	0 0 0 7 1 7 | 81 81 24 | 81 87 69 
10	LOD	1	4	33	90	93	0 0 0 7 1 7 | 81 81 24 | 81 87 69 1 
11	LIT	0	0	36	90	94	0 0 0 7 1 7 | 81 81 24 | 81 87 69 1 0 
12	NEQ	0	6	39	90	93	0 0 0 7 1 7 | 81 81 24 | 81 87 69 1 
13	JPC	0	69	42	90	92	0 0 0 7 1 7 | 81 81 24 | 81 87 69 
14	LOD	1	5	45	90	93	0 0 0 7 1 7 | 81 81 24 | 81 87 69 7 
15	LOD	1	3	48	90	94	0 0 0 7 1 7 | 81 81 24 | 81 87 69 7 7 
16	ADD	0	1	51	90	93	0 0 0 7 1 7 | 81 81 24 | 81 87 69 14 
17	STO	1	5	54	90	92	0 0 0 7 1 14 | 81 81 24 | 81 87 69 
18	LOD	1	4	57	90	93	0 0 0 7 1 14 | 81 81 24 | 81 87 69 1 
19	LIT	0	1	60	90	94	0 0 0 7 1 14 | 81 81 24 | 81 87 69 1 1 
20	SUB	0	2	63	90	93	0 0 0 7 1 14 | 81 81 24 | 81 87 69 0 
21	STO	1	4	66	90	92	0 0 0 7 0 14 | 81 81 24 | 81 87 69 
22	CAL	1	27	27	93	92	0 0 0 7 0 14 | 81 81 24 | 81 87 69 
9	INC	0	3	30	93	95	0 0 0 7 0 14 | 81 81 24 | 81 87 69 | 81 90 69 
10	LOD	1	4	33	93	96	0 0 0 7 0 14 | 81 81 24 | 81 87 69 | 81 90 69 0 
11	LIT	0	0	36	93	97	0 0 0 7 0 14 | 81 81 24 | 81 87 69 | 81 90 69 0 0 
12	NEQ	0	6	39	93	96	0 0 0 7 0 14 | 81 81 24 | 81 87 69 | 81 90 69 0 
13	JPC	0	69	69	93	95	0 0 0 7 0 14 | 81 81 24 | 81 87 69 | 81 90 69 
23	RTN	0	0	69	90	92	0 0 0 7 0 14 | 81 81 24 | 81 87 69 
23	RTN	0	0	69	87	89	0 0 0 7 0 14 | 81 81 24 
23	RTN	0	0	24	81	86	0 0 0 7 0 14 
8	JMP	0	72	72	81	86	0 0 0 7 0 14 
24	LOD	0	5	75	81	87	0 0 0 7 0 14 14 
Output : 14
25	WRT	0	1	78	81	86	0 0 0 7 0 14 
26	HLT	0	3	81	81	86	0 0 0 7 0 14 
